ssn,name,dob,degree_id
11,ALEX,1978/12/12,2
12,BEYONCE,1978/12/13,3
13,CHRIS,1978/12/14,8
14,DANNI,1978/12/15,9
15,EVE,1978/12/16,4
16,FNAME,1978/12/17,8
17,GRID,1978/12/18,8
18,HYDRID,1978/12/19,5
19,JOY,1978/12/20,9
20,KLOUD,1978/12/21,9
202,LIAM,1978/12/22,4
203,NOAH,1978/12/23,5
204,OLIVER,1978/12/24,3
205,WILLIAM,1978/12/25,6
206,JAMES,1978/12/26,7
207,JAMMY,1978/12/27,8
208,BENJAMIN,1978/12/28,8
209,GOODRICH,1978/12/29,3
210,LINDA,1978/12/30,4
211,LUCAS,1978/12/31,5
212,LUIS,1979/01/01,2
213,TAMAKO,1979/01/02,1
