ssn,name,year,dob,graduated,major_id,degree_id,work_id
1,ANN,2021,1998/08/21,TRUE,1,2,
2,BOB,2020,1998/08/22,TRUE,1,7,
3,CRYSTINA,2022,1999/08/23,FALSE,4,6,2
4,DAVID,2016,1994/08/24,TRUE,2,9,
5,EVAN,1978,1898/08/25,TRUE,3,5,1
6,FOX,2022,1998/08/26,FALSE,2,5,3
7,GRINGER,2023,1999/08/27,FALSE,1,8,3
8,HELEN,2022,1998/08/28,FALSE,3,8,2
9,IAN,2023,1997/08/29,FALSE,1,2,
51,JENNY,2023,1998/08/30,FALSE,1,6,2
52,JANE,2022,1998/08/30,FALSE,1,6,
53,EXCEL,2022,1988/08/31,FALSE,1,2,
54,MAY,2023,1978/08/06,FALSE,3,8,
55,ANNIE,2023,1908/08/30,FALSE,2,8,3
56,HUGH,2023,1998/07/12,FALSE,2,8,
57,PETER,2018,1998/08/20,TRUE,3,7,
58,SOLEMEN,2023,1998/04/10,FALSE,4,8,4
59,LAMESIS,1998,1998/12/12,TRUE,3,7,
60,ANAME,2000,1998/08/15,TRUE,4,2,2
62,RANDOM,2021,1997/06/23,TRUE,4,1,1
64,LASTSTU,2022,1999/09/17,FALSE,3,6,
